TRIFID,PRIMARY NAICS CODE,CAS NUMBER,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
33313DLXCH6531N,323110,71556,518.0,Pounds,3.7863,NO,0.0,4.6092,5.8864,16.2821,33.7913,40.2174,YES,11.6729,11.881,0.8099,NO,R19
60177HDNCX201NO,332722,79016,0.5,Pounds,0.0018,NO,0.0,0.0023,0.0032,0.0044,0.0076,0.0176,YES,0.0021,0.0052,1.0055,YES,R11
93401JBLSC277GR,325413,75092,2400.0,Pounds,17.8306,NO,0.0,18.9728,20.1681,61.882,100.0,93.75,NO,42.9092,41.9226,0.6744,NO,R11
02860CLYNC50EST,313320,117817,3349.0,Pounds,7.6463,NO,0.0,8.0613,8.4823,44.1401,98.2584,95.5492,NO,36.0788,30.8687,0.996,NO,R99
17557BRKTK132WH,331422,N420,10.0,Pounds,47.619,NO,40.625,56.25,62.5,66.6667,82.2917,90.9091,YES,10.4167,63.8374,0.2057,NO,R11
15321TMZDM100PA,325510,78933,33000.0,Pounds,93.2203,NO,90.2744,94.5607,95.9302,97.4183,100.0,99.2481,NO,2.8576,96.051,0.0207,NO,R11
92071CSTMC10848,337215,67641,10000.0,Pounds,40.391,NO,40.391,40.391,40.391,40.391,40.391,40.391,NO,0.0,40.391,0.0,NO,R11
92071CSTMC10848,325991,100425,0.5,Pounds,0.0071,NO,0.0,0.0079,0.0086,0.0251,0.051,0.0416,NO,0.0173,0.0191,0.8324,NO,R11
29670FBRTC250SD,326199,67641,14200.0,Pounds,37.2703,NO,37.2703,37.2703,37.2703,37.2703,37.2703,37.2703,NO,0.0,37.2703,0.0,NO,R11
45750VNGRD1409G,325510,N230,280.0,Pounds,17.8914,NO,0.0,19.5921,21.2928,37.0615,63.2656,52.8302,NO,17.4694,30.6714,0.5129,NO,R11
98126WYCKF2801S,321114,87865,620.0,Pounds,94.9464,YES,95.2681,96.875,97.1787,97.9463,99.5532,99.5185,NO,1.0713,97.3969,0.0097,NO,R19
30458GRNNLHIGHW,331511,7439965,0.5,Pounds,0.0666,NO,0.0,0.0999,0.0999,0.1996,0.3492,0.1996,NO,0.0997,0.1379,0.3957,NO,R99
07072HRTNPBROAD,325510,71363,1685.0,Pounds,16.447,NO,0.0,20.173,25.983,42.0608,74.8926,87.0801,YES,21.8878,35.4796,0.5711,NO,R11
27203PLSTCHWY49,325991,N010,2.0,Pounds,0.7634,NO,0.0,0.7782,0.7937,22.619,55.3803,28.5714,NO,21.8408,10.989,1.1238,YES,R99
27203PLSTCHWY49,325991,N420,224.0,Pounds,4.5491,NO,0.0,5.0795,5.7085,20.6493,44.004,47.2574,YES,15.5698,15.5675,0.9421,NO,R99
17604RMSTRLIBER,326192,71556,26400.0,Pounds,5.9236,NO,0.0,6.3996,6.9586,42.8922,97.6311,98.8764,YES,36.4926,27.8986,0.9994,NO,R11
17604RMSTRLIBER,326192,108883,1814445.0,Pounds,92.4296,NO,86.7939,93.5554,94.7013,98.063,100.0,99.989,NO,4.5076,96.0203,0.0282,NO,R11
54014MYRNDHIGHW,332312,7440020,0.5,Pounds,0.0219,NO,0.0,0.0227,0.0234,0.1789,0.4133,0.3344,NO,0.1563,0.1266,1.1609,YES,R30
30458GRNNLHIGHW,331511,7440473,7400.0,Pounds,88.0952,NO,84.1917,90.7975,93.6709,95.2015,100.0,96.732,NO,4.4039,93.3493,0.0277,NO,R99
60064PHTCH1554W,325992,7664417,10.0,Pounds,1.3072,NO,0.0,1.3115,1.3158,33.9912,83.0108,66.6667,NO,32.6797,23.0965,1.3339,YES,R99
55447CRNNC2705C,332813,7664939,45000.0,Pounds,15.6792,NO,0.0,15.6793,15.6794,57.8342,100.0,99.9889,NO,42.1549,43.7825,0.9078,NO,R40
63126PLZNC9401W,325612,75092,1000.0,Pounds,6.135,NO,2.7565,8.6975,11.5607,12.6582,18.5993,57.1429,YES,3.9607,18.1917,0.943,NO,R11
15681BRZND100AE,332510,79016,0.5,Pounds,0.0012,NO,0.0,0.0013,0.0014,0.0111,0.0259,0.0148,NO,0.0099,0.006,0.9876,NO,R11
95678NCLCT7501F,334413,71556,15700.0,Pounds,40.621,NO,9.9337,45.2452,50.0,68.7863,100.0,98.4326,NO,23.5411,59.5881,0.3222,NO,R99
77045DMNDP12222,325510,1330207,22300.0,Pounds,89.0575,NO,81.5689,89.3079,89.5582,94.4672,100.0,99.3761,NO,5.1593,92.664,0.0513,NO,R99
