CHEMICAL_ID_NUMBER,STRIPPED_CHEMICAL_ID_NUMBER,Nat_Agg_PPV_2015,Nat_Agg_PPV_2014,Nat_Agg_PPV_2013,Nat_Agg_PPV_2012
3279-27-4,3279274,Withheld,Withheld,Withheld,Withheld
3282-30-2,3282302,"500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
32844-67-0,32844670,Withheld,Withheld,Withheld,Withheld
32846-21-2,32846212,Withheld,Withheld,Withheld,Withheld
329065-12-5,329065125,"50,000,000 - 100,000,000 lb","100,000,000 - 250,000,000 lb","100,000,000 - 250,000,000 lb","50,000,000 - 100,000,000 lb"
3290-92-4,3290924,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
32953-65-4,32953654,Withheld,Withheld,Withheld,Withheld
32954-43-1,32954431,Withheld,Withheld,Withheld,Withheld
3296-90-0,3296900,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
330198-53-3,330198533,"< 25,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb"
10/1/3302,3302101,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
330-54-1,330541,"100,000 - 500,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb","100,000 - 500,000 lb"
33145-10-7,33145107,Withheld,Withheld,Withheld,Withheld
3319-31-1,3319311,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
332350-90-0,332350900,Withheld,Withheld,Withheld,Withheld
332350-93-3,332350933,Withheld,Withheld,Withheld,Withheld
3323-53-3,3323533,"1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb","1,000,000,000 - 5,000,000,000 lb"
3327-22-8,3327228,"50,000,000 - 100,000,000 lb","100,000,000 - 250,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
3330-14-1,3330141,Withheld,Withheld,Withheld,Withheld
333-20-0,333200,Withheld,Withheld,Withheld,Withheld
3332-27-2,3332272,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
33329-35-0,33329350,Withheld,Withheld,Withheld,Withheld
3333-67-3,3333673,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
3338-24-7,3338247,Withheld,Withheld,Withheld,Withheld
33422,33422,Withheld,Withheld,Withheld,Withheld
334-48-5,334485,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
33467-73-1,33467731,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
33481-16-2,33481162,Withheld,Withheld,Withheld,Withheld
335-05-7,335057,Withheld,Withheld,Withheld,Withheld
33509-43-2,33509432,Withheld,Withheld,Withheld,Withheld
5/1/3351,3351051,"100,000 - 500,000 lb","< 25,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
5/7/3353,3353057,Withheld,Withheld,Withheld,Withheld
335-42-2,335422,Withheld,Withheld,Withheld,Withheld
