SRS INTERNAL TRACKING NUMBER,FOR WHAT IS TRANSFERRED,TIME
3889,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",20
3889,Other treatment that does not include on-site disposal,3
3905,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
3905,Incineration; thermal destruction other than use as a fuel,1
3905,Landfill (with prior treatment and/or stabilization),13
3905,Macro-encapsulation prior to disposal at another site,1
4119,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
4119,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),3
4119,Incineration; thermal destruction other than use as a fuel,8
4283,Absorption,3597
4283,Adsorption,26
4283,Air or steam stripping,39
4283,Biological treatment,118
4283,Chemical oxidation,26
4283,Chemical reduction with or without precipitation,91
4283,Chemical treatment (reduction / destruction / oxidation /precipitation),98
4283,"Combination of chemical, biological and/or physical treatment",47
4283,Cyanide destruction with or without precipitation,8
4283,Deepwell or underground injection (with or without treatment),920
4283,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),140
4283,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),27647
4283,Evaporation,4
4283,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),24404
4283,Incineration; thermal destruction other than use as a fuel,37180
4283,Land treatment or application (with any prior treatment and/or stabilization),150
4283,Landfill (with prior treatment and/or stabilization),3171
4283,Macro-encapsulation prior to disposal at another site,695
4283,"Metals recovery including retorting, smelting, chemical, etc.",390
4283,Neutralization only,167
4283,Other Disposal,2810
4283,Other chemical precipitation with or without pre-treatment,132
4283,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",6101
4283,Other treatment that does not include on-site disposal,2178
4283,Phase separation,45
4283,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),27
4283,Settling or clarification,3
4283,Sludge treatment and/or dewatering,9
4283,Solvents recovery,3758
4283,Stabilization or chemical fixation prior to disposal at another site,320
4283,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),114
4283,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),19
4291,Absorption,16
4291,Deepwell or underground injection (with or without treatment),6
4291,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),315
4291,Incineration; thermal destruction other than use as a fuel,395
4291,Landfill (with prior treatment and/or stabilization),27
4291,Macro-encapsulation prior to disposal at another site,6
4291,"Metals recovery including retorting, smelting, chemical, etc.",1
4291,Other Disposal,40
4291,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",129
4291,Other treatment that does not include on-site disposal,29
4309,Absorption,284
4309,Air or steam stripping,1
4309,Biological treatment,6
4309,Chemical oxidation,2
4309,Chemical reduction with or without precipitation,11
4309,Chemical treatment (reduction / destruction / oxidation /precipitation),15
4309,"Combination of chemical, biological and/or physical treatment",4
4309,Deepwell or underground injection (with or without treatment),84
4309,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),7
4309,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),4191
4309,Evaporation,1
4309,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),4088
4309,Incineration; thermal destruction other than use as a fuel,6670
4309,Land treatment or application (with any prior treatment and/or stabilization),9
4309,Landfill (with prior treatment and/or stabilization),414
4309,Macro-encapsulation prior to disposal at another site,101
4309,"Metals recovery including retorting, smelting, chemical, etc.",8
4309,Neutralization only,13
4309,Other Disposal,637
4309,Other chemical precipitation with or without pre-treatment,11
4309,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1856
4309,Other treatment that does not include on-site disposal,517
4309,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),2
4309,Solvents recovery,122
4309,Stabilization or chemical fixation prior to disposal at another site,17
4309,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),16
4317,Absorption,247
4317,Air or steam stripping,2
4317,Biological treatment,20
4317,Chemical reduction with or without precipitation,15
4317,Chemical treatment (reduction / destruction / oxidation /precipitation),3
4317,"Combination of chemical, biological and/or physical treatment",4
4317,Deepwell or underground injection (with or without treatment),81
4317,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),16
4317,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),914
4317,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),596
4317,Incineration; thermal destruction other than use as a fuel,4244
4317,Land treatment or application (with any prior treatment and/or stabilization),11
4317,Landfill (with prior treatment and/or stabilization),392
4317,Macro-encapsulation prior to disposal at another site,32
4317,"Metals recovery including retorting, smelting, chemical, etc.",8
4317,Neutralization only,15
4317,Other Disposal,183
4317,Other chemical precipitation with or without pre-treatment,15
4317,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",327
4317,Other treatment that does not include on-site disposal,191
4317,Phase separation,6
4317,Solvents recovery,51
4317,Stabilization or chemical fixation prior to disposal at another site,33
4317,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),12
4341,Absorption,22
4341,Chemical oxidation,1
4341,"Combination of chemical, biological and/or physical treatment",1
4341,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),78
4341,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),8
4341,Incineration; thermal destruction other than use as a fuel,623
4341,Landfill (with prior treatment and/or stabilization),89
4341,Macro-encapsulation prior to disposal at another site,10
4341,Neutralization only,2
4341,Other Disposal,22
4341,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",28
4341,Other treatment that does not include on-site disposal,30
4341,Solvents recovery,6
4341,Stabilization or chemical fixation prior to disposal at another site,6
4341,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),2
