TRIFID,TRI_CHEM_ID,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
36652SCTTPBAYBR,67663,0.65,,,,,1999
76705PLGRM2500E,7664417,1.0,,,,,1999
41094DRBGM1DURO,N230,0.0,,,,,1999
30318TRNSM3132P,95636,0.0,,,,,1999
65807SYNTX2460W,7726956,1.31,,,,,1999
60450QNTMC8805N,110543,0.87,,,,,1999
08014SFTYKRTE32,78875,1.07,,,,,1999
45879LFRGCCOUNT,108907,1.12,,,,,1999
08014SFTYKRTE32,75070,1.07,,,,,1999
55441SCMDL2050E,2837890,1.17,,,,,1999
70776CBGGYRIVER,75092,1.21,,,,,1999
08023DPNTCRT130,95545,1.02,,,,,1999
16340TRPDWRD2XX,7440020,1.1,,,,,1999
76010LNSPP120FA,7440508,1.03,,,,,1999
19426SPRRT3900G,7697372,0.94,,,,,1999
37662TNNSSEASTM,123728,1.05,,,,,1999
37662TNNSSEASTM,N096,0.87,,,,,1999
27028LXNGT719BA,108883,1.1,,,,,1999
26003HBCNC21418,7440020,0.0,,,,,1999
67337SFTYKHWY16,N230,0.0,,,,,1999
90040THMCC5501E,584849,1.24,,,,,1999
29704BWTRC5300C,67561,1.05,,,,,1999
35401LKCRP4600S,N100,1.19,,,,,1999
55792BRNCRPOBOX,67561,0.17,,,,,1999
48165CNTNN29201,N100,2.34,,,,,1999
77530HWLLC1201S,71363,0.75,,,,,1999
32226TLNTC8500H,100414,1.0,,,,,1999
44139CYHGS31000,7440020,0.76,,,,,1999
77704DPNTBSTATE,75070,0.96,,,,,1999
48390FNSHT4205M,78933,0.89,,,,,1999
80022CNCDN5801B,7664417,1.09,,,,,1999
68110LZRCR6316P,108883,1.01,,,,,1999
