ID,NAT_AGG_PPV,YEAR,UNIT,Internal Tracking Number,Substance Name
10124411,50000000,2013,lb,168310,"Thiosulfuric acid (H2S2O3), calcium salt (1:1)"
10124411,50000000,2012,lb,168310,"Thiosulfuric acid (H2S2O3), calcium salt (1:1)"
10124433,100000000,2015,lb,168328,"Sulfuric acid, cobalt(2+) salt (1:1)"
10124433,10000000,2014,lb,168328,"Sulfuric acid, cobalt(2+) salt (1:1)"
10124433,10000000,2013,lb,168328,"Sulfuric acid, cobalt(2+) salt (1:1)"
10124433,10000000,2012,lb,168328,"Sulfuric acid, cobalt(2+) salt (1:1)"
10124535,10000000,2015,lb,168369,"Thiosulfuric acid (H2S2O3), magnesium salt (1:1)"
10124535,10000000,2014,lb,168369,"Thiosulfuric acid (H2S2O3), magnesium salt (1:1)"
10124535,10000000,2013,lb,168369,"Thiosulfuric acid (H2S2O3), magnesium salt (1:1)"
10124535,10000000,2012,lb,168369,"Thiosulfuric acid (H2S2O3), magnesium salt (1:1)"
10124546,500000,2015,lb,168377,"Phosphoric acid, manganese salt (1:?)"
10124546,500000,2014,lb,168377,"Phosphoric acid, manganese salt (1:?)"
10124546,500000,2013,lb,168377,"Phosphoric acid, manganese salt (1:?)"
10124546,500000,2012,lb,168377,"Phosphoric acid, manganese salt (1:?)"
10124568,1000000,2015,lb,168385,"Metaphosphoric acid (H6P6O18), sodium salt (1:6)"
10124568,1000000,2014,lb,168385,"Metaphosphoric acid (H6P6O18), sodium salt (1:6)"
10124568,1000000,2013,lb,168385,"Metaphosphoric acid (H6P6O18), sodium salt (1:6)"
10124568,1000000,2012,lb,168385,"Metaphosphoric acid (H6P6O18), sodium salt (1:6)"
10124659,500000,2015,lb,168393,"Dodecanoic acid, potassium salt (1:1)"
10124659,500000,2014,lb,168393,"Dodecanoic acid, potassium salt (1:1)"
10124659,500000,2013,lb,168393,"Dodecanoic acid, potassium salt (1:1)"
10124659,500000,2012,lb,168393,"Dodecanoic acid, potassium salt (1:1)"
101257,500000,2015,lb,20008,"1,3,5,7-Tetraazabicyclo[3.3.1]nonane, 3,7-dinitroso-"
101257,500000,2014,lb,20008,"1,3,5,7-Tetraazabicyclo[3.3.1]nonane, 3,7-dinitroso-"
101257,500000,2013,lb,20008,"1,3,5,7-Tetraazabicyclo[3.3.1]nonane, 3,7-dinitroso-"
101257,500000,2012,lb,20008,"1,3,5,7-Tetraazabicyclo[3.3.1]nonane, 3,7-dinitroso-"
10126688,50000000,2015,lb,168419,"2-Oxetanone, 4-heptadecylidene-3-hexadecyl-"
10126688,50000000,2014,lb,168419,"2-Oxetanone, 4-heptadecylidene-3-hexadecyl-"
10126688,50000000,2013,lb,168419,"2-Oxetanone, 4-heptadecylidene-3-hexadecyl-"
10126688,50000000,2012,lb,168419,"2-Oxetanone, 4-heptadecylidene-3-hexadecyl-"
101316738,10000000,2015,lb,611640,"Lubricating oils (petroleum), used, noncatalytically refined"
